name,MAC
beacon1,52 03 23 01 00 07
beacon2,52 03 23 01 00 59
beacon3,20 22 05 23 01 09
beacon4,52 03 23 01 00 52
beacon5,20 22 05 23 01 27
beacon6,20 22 05 23 01 25
beacon7,52 03 23 01 01 23
beacon8,52 03 23 01 01 24
beacon9,52 03 23 01 01 0A
beacon10,52 03 23 01 01 27
beacon11,52 03 23 01 01 25
beacon12,52 03 23 01 01 29
beacon13,52 03 23 01 01 09
beacon14,52 03 23 01 01 2B
beacon15,52 03 23 01 01 26
beacon16,52 03 23 01 01 28
beacon17,52 03 23 01 01 2A
beacon18,52 03 23 01 01 22
beacon19,52 03 23 01 01 2C
beacon20,52 03 23 01 01 0B
